"Region","Mean_Score","Median_Score","SD_Score","Min_Score","Max_Score","Count"
"Asia",46.0687804878049,44.61,4.537716892992,44.02,80.64,574
"Europe",46.7019047619048,45.13,5.48601547619942,43.36,97.64,819
